Время (сек),[Вертолет] Состояние,[Угловая скорость в связанной СК] По оси X (град-с),[Угловая скорость в связанной СК] По оси Y (град-с),[Угловая скорость в связанной СК] По оси Z (град-с),[Полное ускорение в связанной СК] По оси X (G),[Полное ускорение в связанной СК] По оси Y (G),[Полное ускорение в связанной СК] По оси Z (G),[Полное ускорение в нормальной СК] Северное (G),[Полное ускорение в нормальной СК] Восточное (G),[Полное ускорение в нормальной СК] Вертикальное (G),[Полное ускорение в нормальной СК] Перегрузка (G),[Напряженность МПЗ в связанной СК] По оси X (Гаусс),[Напряженность МПЗ в связанной СК] По оси Y (Гаусс),[Напряженность МПЗ в связанной СК] По оси Z (Гаусс),[Координаты в стартовой СК] Удаление на Север (м),[Координаты в стартовой СК] Удаление на Восток (м),[Координаты в стартовой СК] Высота (м),[Координаты в стартовой СК] Удаление по горизонтали (м),[Координаты в стартовой СК] Уход по горизонтали (м),[Координаты в стартовой СК] Уход по вертикали (м),[Координаты в стартовой СК] Ошибка по горизонтали (м),[Координаты в стартовой СК] Ошибка по вертикали (м),[Координаты в стартовой СК] СКО курса (град),[Координаты в географической СК] Широта (микро град),[Координаты в географической СК] Долгота (микро град),[Координаты в географической СК] Высота (м),[Координаты в географической СК] СКО широты (м),[Координаты в географической СК] СКО долготы (м),[Координаты в географической СК] СКО высоты (м),[Скорость относительно Земли] Северная (м-с),[Скорость относительно Земли] Восточная (м-с),[Скорость относительно Земли] Вертикальная (м-с),[Скорость относительно Земли] Горизонтальная (м-с),[Скорость относительно Земли] Полная (м-с),[Скорость относительно Земли] Траекторный угол (град),[Скорость относительно Земли] Путевой угол (град),[Скорость относительно Земли] Угол сноса (град),[Скорость относительно Земли] СКО северной (м-c),[Скорость относительно Земли] СКО восточной (м-c),[Скорость относительно Земли] СКО вертикальной (м-c),[Скорость относительно воздуха] Северная (м-с),[Скорость относительно воздуха] Восточная (м-с),[Скорость относительно воздуха] Вертикальная (м-с),[Скорость относительно воздуха] Горизонтальная (м-с),[Скорость относительно воздуха] Полная (м-с),[Скорость относительно воздуха] Угол атаки (град),[Скорость относительно воздуха] Угол скольжения (град),[Ориентация] Курс (град),[Ориентация] Тангаж (град),[Ориентация] Крен (град),[Ориентация] СКО курса (град),[Ориентация] СКО тангажа (град),[Ориентация] СКО крена (град),[Время] Дата (ddmmyyyy),[Время] Время (hhmmsssss),[Точка цели] Флаги,[Точка цели] Широта (микроград),[Точка цели] Долгота (микроград),[Точка цели] Высота (м),[Точка цели] Скорость (км-ч),[Точка цели] Путевой угол (град),[Точка цели] Азимут (град),[Точка цели] Возвышение (град),[Точка цели] Дальность (м),[Автопилот] Код ошибки,[Автопилот] Режим работы (0-A 1-AM 2-M),[Автопилот] Заданный путевой угол (град),[Автопилот] Текущий путевой угол (град),[Автопилот] Заданная высота (м),[Автопилот] Текущая высота (м),[Автопилот] Заданная скорость (км-ч),[Автопилот] Текущая скорость (км-ч),[Автопилот] Заданная вертикальная скорость (м-с),[Автопилот] Текущая  вертикальная скорость (м-с),[Автопилот] Заданный крен (град),[Автопилот] Текущий крен (град),[Автопилот] Заданный тангаж (град),[Автопилот] Текущий тангаж (град),[Автопилот] Заданный курс (град),[Автопилот] Текущий курс (град),[Автопилот] Заданный траекторный угол (град),[Автопилот] Текущий траекторный угол (град),[Автопилот] Текущий угол атаки (град),[Автопилот] Текущий угол скольжения (град),[Автопилот] Заданная тяга (%),[Автопилот] Триммер автомата тяги (%),[Автопилот] Триммер руля высоты (град),[Сервопривод направления] Код ошибки,[Сервопривод возвышения] Код ошибки,[Силовая установка] Тяга переднего левого двигателя (%),[Силовая установка] Тяга переднего правого двигателя (%),[Силовая установка] Тяга заднего левого двигателя (%),[Силовая установка] Тяга заднего правого двигателя (%),[Передний левый двигатель] Код ошибки,[Передний правый двигатель] Код ошибки,[Задний левый двигатель] Код ошибки,[Задний правый двигатель] Код ошибки,[Футаба] Канал флагов,[Футаба] Код ошибки,[Канал крена] Относительное положение,[Канал тангажа] Относительное положение,[Канал направления] Относительное положение,[Канал тяги] Относительное положение,[Канал автопилота] Относительное положение,[Канал двигателей] Относительное положение,[Канал парашюта] Относительное положение,[Канал связи] Относительное положение,[Канал полезной нагрузки] Относительное положение,[Канал режима] Относительное положение,[Канал 11] Относительное положение,[Канал 12] Относительное положение,[Канал 13] Относительное положение,[Канал 14] Относительное положение,[Канал 15] Относительное положение,[Канал 16] Относительное положение,[Батарея] Код ошибки,[Батарея] Напряжение (В),[Батарея] Ток (A),[Топливный бак] Код ошибки,[Топливный бак] Остаток (л),[Топливный бак] Уровень (%),[Топливный бак] Расход (л-мин),[Высотомер] Код ошибки,[Высотомер] Расстояние (м)
216.924,1,0.024827,0.07156076,-0.03345237,-0.02111294,-0.01717005,-0.0006151199,-0.02404728,-0.01273346,-0.0005810261,1.000951,0.106213,0.05266263,0.3796159,-1942.077,-379.275,0.05342102,1978.765,6246.37,3.737385,0,0.007507324,0,55878830,37543045,197.4915,1738.789,1738.963,0.4749103,-31.3414,-8.903447,-0.02086376,32.5815,32.58151,-0.03668969,195.8588,-27.05029,13.85523,13.8596,0.286349,-31.3414,-8.903447,-0.02086376,32.5815,32.58151,-0.4549146,-27.05029,348.8324,1.327918,1.520434,2.687522,1.693721,1.799748,6011980,336922,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8324,0,0.05342102,5,117.2934,0,-0.02086376,0,1.520434,0,1.327918,0,348.8324,0,-0.03668969,7.545086,-27.05029,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.934,1,-0.09616501,0.2303397,-0.03688653,-0.02211916,-0.01557974,0.1084422,-0.02278925,-0.01429907,0.1084749,0.891931,0.1055463,0.05266263,0.3902825,-1942.39,-379.364,0.05316162,1979.09,6246.37,3.737385,0,0.007507324,0,55878827,37543043,197.4913,1738.895,1739.069,0.4770136,-31.34362,-8.904888,-0.03151809,32.58404,32.58406,-0.0554214,195.8602,-27.05142,13.8558,13.86018,0.2870255,-31.34362,-8.904888,-0.03151809,32.58404,32.58406,-0.4386432,-27.05142,348.8321,1.330226,1.519442,2.687688,1.693914,1.799941,6011980,336932,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8321,0,0.05316162,5,117.3026,0,-0.03151809,0,1.519442,0,1.330226,0,348.8321,0,-0.0554214,7.561358,-27.05142,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.944,1,-0.106471,0.07728578,-0.04108565,-0.02478135,-0.01637868,0.06308764,-0.02636528,-0.0131787,0.06318992,0.9372737,0.1055463,0.05266263,0.3902825,-1942.704,-379.4531,0.05281067,1979.415,6246.37,3.737385,0,0.007507324,0,55878825,37543042,197.4909,1739.002,1739.175,0.4791262,-31.3462,-8.906219,-0.03772761,32.58688,32.58691,-0.06633443,195.8612,-27.05247,13.85637,13.86075,0.2877012,-31.3462,-8.906219,-0.03772761,32.58688,32.58691,-0.4288823,-27.05247,348.8318,1.331005,1.518345,2.687852,1.694107,1.800131,6011980,336942,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8318,0,0.05281067,5,117.3129,0,-0.03772761,0,1.518345,0,1.331005,0,348.8318,0,-0.06633443,7.571119,-27.05247,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.954,1,-0.1148676,-0.01279041,-0.03421585,-0.02515901,-0.01808966,0.001894414,-0.02815512,-0.01291452,0.001997769,0.9984828,0.1055463,0.05266263,0.3902825,-1943.017,-379.5422,0.0524292,1979.739,6246.37,3.737385,0,0.007507324,0,55878822,37543041,197.4905,1739.108,1739.281,0.4812479,-31.34895,-8.907525,-0.03793098,32.58989,32.58991,-0.06668585,195.8621,-27.0536,13.85694,13.86132,0.2883761,-31.34895,-8.907525,-0.03793098,32.58989,32.58991,-0.4274201,-27.0536,348.8315,1.329663,1.518071,2.688015,1.693571,1.799446,6011980,336952,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8315,0,0.0524292,5,117.3237,0,-0.03793098,0,1.518071,0,1.329663,0,348.8315,0,-0.06668585,7.572581,-27.0536,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.964,1,-0.09272449,0.04292662,-0.008261317,-0.02448726,-0.01665883,0.00395149,-0.02717778,-0.01170699,0.004076242,0.9963633,0.1055463,0.05266263,0.3902825,-1943.331,-379.6313,0.05204773,1980.064,6246.37,3.737385,0,0.007507324,0,55878819,37543039,197.4901,1739.214,1739.388,0.4833788,-31.35161,-8.908712,-0.03833836,32.59277,32.59279,-0.0673961,195.8628,-27.05435,13.85751,13.86189,0.2890503,-31.35161,-8.908712,-0.03833836,32.59277,32.59279,-0.4274968,-27.05435,348.8314,1.330089,1.517119,2.68818,1.693764,1.799636,6011980,336962,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8314,0,0.05204773,5,117.334,0,-0.03833836,0,1.517119,0,1.330089,0,348.8314,0,-0.0673961,7.572505,-27.05435,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.974,1,-0.07707552,0.07346114,-0.01474962,-0.02475401,-0.01854284,-0.0001440048,-0.02787519,-0.01337981,-5.984306E-05,1.000538,0.1055463,0.05266263,0.3902825,-1943.644,-379.7205,0.04089355,1980.389,6246.37,3.737385,0,-0.1251068,0,55878816,37543038,197.479,1739.32,1739.494,0.4641299,-31.35433,-8.910064,-0.04310274,32.59576,32.59579,-0.07576457,195.8638,-27.05518,13.85808,13.86246,0.2827978,-31.35433,-8.910064,-0.04310274,32.59576,32.59579,-0.4201124,-27.05518,348.8313,1.330823,1.516322,2.688345,1.693957,1.799827,6011980,336972,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8313,0,0.04089355,5,117.3448,0,-0.04310274,0,1.516322,0,1.330823,0,348.8313,0,-0.07576457,7.579889,-27.05518,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.15909,2.0304,0x00000000,19.73343,98,0,0x00000000,0
216.984,1,-0.07135045,0.02956782,0.0001357383,-0.02584289,-0.0214881,0.0007221699,-0.02950384,-0.01608321,0.0007537007,0.9998112,0.1055463,0.05266263,0.3902825,-1943.958,-379.8096,0.04046631,1980.714,6246.37,3.795404,0,-0.1251068,0,55878813,37543036,197.4786,1739.427,1739.6,0.4661846,-31.35722,-8.91168,-0.043184,32.59898,32.599,-0.07589994,195.8651,-27.05648,13.85865,13.86303,0.2834784,-31.35722,-8.91168,-0.043184,32.59898,32.599,-0.4205264,-27.05648,348.8314,1.331114,1.515586,2.688509,1.694151,1.800017,6011980,336982,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8314,0,0.04046631,5,117.3564,0,-0.043184,0,1.515586,0,1.331114,0,348.8314,0,-0.07589994,7.579475,-27.05648,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
216.994,1,-0.1259307,0.05361358,-0.01055128,-0.02389253,-0.01848249,-0.001022935,-0.02703493,-0.01345618,-0.0009564161,1.001412,0.1158797,0.05532929,0.3682826,-1944.271,-379.8987,0.04003906,1981.039,6246.37,3.795404,0,-0.1251068,0,55878811,37543035,197.4781,1739.533,1739.707,0.4682487,-31.35986,-8.913039,-0.04309742,32.60189,32.60192,-0.07574098,195.8661,-27.05753,13.85922,13.8636,0.2841582,-31.35986,-8.913039,-0.04309742,32.60189,32.60192,-0.4202844,-27.05753,348.8313,1.330498,1.515181,2.688672,1.693614,1.799333,6011980,336992,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8313,0,0.04003906,5,117.3669,0,-0.04309742,0,1.515181,0,1.330498,0,348.8313,0,-0.07574098,7.579717,-27.05753,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
217.004,1,-0.04844402,0.0803237,-0.03383343,-0.02628876,-0.01850933,-0.001664221,-0.02940069,-0.01300595,-0.001541853,1.002058,0.1158797,0.05532929,0.3682826,-1944.585,-379.9879,0.03961182,1981.363,6246.37,3.795404,0,-0.1251068,0,55878808,37543033,197.4777,1739.639,1739.813,0.4703221,-31.36274,-8.914353,-0.04295338,32.60501,32.60505,-0.0754806,195.867,-27.05868,13.85979,13.86417,0.2848372,-31.36274,-8.914353,-0.04295338,32.60501,32.60505,-0.4214594,-27.05868,348.831,1.331305,1.514667,2.688837,1.693807,1.799523,6011980,337002,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.831,0,0.03961182,5,117.3782,0,-0.04295338,0,1.514667,0,1.331305,0,348.831,0,-0.0754806,7.578542,-27.05868,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
217.014,1,-0.04195561,0.003606094,-0.02047452,-0.02377098,-0.01977451,0.002632856,-0.02710787,-0.01486408,0.002661049,0.997818,0.1158797,0.05532929,0.3682826,-1944.898,-380.0771,0.03918457,1981.688,6246.37,3.795404,0,-0.1251068,0,55878805,37543032,197.4773,1739.745,1739.919,0.4724049,-31.36539,-8.91585,-0.04322186,32.60797,32.608,-0.0759455,195.8682,-27.06009,13.86036,13.86474,0.2855154,-31.36539,-8.91585,-0.04322186,32.60797,32.608,-0.4211825,-27.06009,348.8309,1.331342,1.514219,2.689001,1.694001,1.799713,6011980,337012,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8309,0,0.03918457,5,117.3888,0,-0.04322186,0,1.514219,0,1.331342,0,348.8309,0,-0.0759455,7.578818,-27.06009,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
217.024,1,-0.005314371,-0.01127934,0.04822769,-0.02047423,-0.01899811,0.002132297,-0.02373449,-0.01472899,0.002104819,0.9982861,0.1158797,0.05532929,0.3682826,-1945.212,-380.1663,0.03875732,1982.013,6246.37,3.795404,0,-0.1251068,0,55878802,37543031,197.4769,1739.852,1740.026,0.4744968,-31.36771,-8.917334,-0.04343574,32.61061,32.61064,-0.07631516,195.8696,-27.06095,13.86093,13.86532,0.2861929,-31.36771,-8.917334,-0.04343574,32.61061,32.61064,-0.4206967,-27.06095,348.8314,1.331212,1.514154,2.689165,1.694194,1.799904,6011980,337022,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8314,0,0.03875732,5,117.3983,0,-0.04343574,0,1.514154,0,1.331212,0,348.8314,0,-0.07631516,7.579304,-27.06095,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
217.034,1,0.006899349,0.03833899,-0.0269631,-0.02165775,-0.0169732,0.0005389452,-0.02452586,-0.01246754,0.0005934834,0.9997852,0.1158797,0.05532929,0.3682826,-1945.526,-380.2555,0.03833008,1982.338,6246.37,3.795404,0,-0.1251068,0,55878799,37543029,197.4764,1739.958,1740.132,0.4765981,-31.3701,-8.918595,-0.04350129,32.61326,32.61329,-0.07642411,195.8706,-27.06216,13.8615,13.86589,0.2868695,-31.3701,-8.918595,-0.04350129,32.61326,32.61329,-0.4208719,-27.06216,348.8312,1.331598,1.514194,2.68933,1.694387,1.800094,6011980,337032,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8312,0,0.03833008,5,117.4078,0,-0.04350129,0,1.514194,0,1.331598,0,348.8312,0,-0.07642411,7.579129,-27.06216,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.73343,98,0,0x00000000,0
217.045,1,-0.1072227,0.06734669,-0.1174212,-0.02381928,-0.01830433,-0.001358449,-0.02693344,-0.01328681,-0.001288176,1.001738,0.1158797,0.05532929,0.3682826,-1945.84,-380.3447,0.03790283,1982.663,6246.37,3.795404,0,-0.1251068,0,55878796,37543028,197.476,1740.064,1740.238,0.4787085,-31.37273,-8.919937,-0.04338215,32.61616,32.61618,-0.07620802,195.8716,-27.06426,13.86207,13.86646,0.2875454,-31.37273,-8.919937,-0.04338215,32.61616,32.61618,-0.4206305,-27.06426,348.83,1.331109,1.514086,2.689493,1.693851,1.799409,6011980,337042,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.83,0,0.03790283,5,117.4183,0,-0.04338215,0,1.514086,0,1.331109,0,348.83,0,-0.07620802,7.57937,-27.06426,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.72921,98,0,0x00000000,0
217.054,1,-0.04614764,0.03146075,-0.06627581,-0.02330319,-0.02198302,0.0008143187,-0.02710795,-0.01706446,0.0007746816,0.9997386,0.09721299,0.06799596,0.3769492,-1946.153,-380.434,0.03747559,1982.988,6246.37,3.795404,0,-0.1251068,0,55878794,37543026,197.4756,1740.171,1740.344,0.4808281,-31.37538,-8.92165,-0.04346548,32.61917,32.6192,-0.07634735,195.8732,-27.06651,13.86264,13.86703,0.2882205,-31.37538,-8.92165,-0.04346548,32.61917,32.6192,-0.4209336,-27.06651,348.8294,1.331436,1.513586,2.689657,1.694045,1.799599,6011980,337052,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8294,0,0.03747559,5,117.4291,0,-0.04346548,0,1.513586,0,1.331436,0,348.8294,0,-0.07634735,7.579068,-27.06651,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.72921,98,0,0x00000000,0
217.064,1,-0.01523154,0.05016315,-0.07734448,-0.02449849,-0.02017002,0.001125157,-0.02792167,-0.01506723,0.001161277,0.9993426,0.09721299,0.06799596,0.3769492,-1946.467,-380.5232,0.03703308,1983.313,6246.37,3.795404,0,-0.1251068,0,55878791,37543025,197.4751,1740.277,1740.451,0.4829569,-31.37811,-8.923166,-0.04358676,32.62222,32.62225,-0.07655325,195.8745,-27.06848,13.86321,13.8676,0.2888948,-31.37811,-8.923166,-0.04358676,32.62222,32.62225,-0.4212088,-27.06848,348.8287,1.331954,1.513393,2.689823,1.694239,1.799789,6011980,337062,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8287,0,0.03703308,5,117.4401,0,-0.04358676,0,1.513393,0,1.331954,0,348.8287,0,-0.07655325,7.578793,-27.06848,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.72921,98,0,0x00000000,0
217.074,1,-0.1033996,0.01123178,-0.02047424,-0.02386791,-0.02006205,-0.001644969,-0.02733331,-0.01499093,-0.001618743,1.002104,0.09721299,0.06799596,0.3769492,-1946.781,-380.6125,0.00302124,1983.638,6246.37,3.795404,0,-0.3901215,0,55878788,37543023,197.4411,1740.383,1740.557,0.4637594,-31.38078,-8.924676,-0.05826231,32.6252,32.62525,-0.1023191,195.8758,-27.06913,13.86378,13.86817,0.2826637,-31.38078,-8.924676,-0.05826231,32.6252,32.62525,-0.3959929,-27.06913,348.8286,1.332067,1.512331,2.689987,1.694432,1.799979,6011980,337072,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8286,0,0.00302124,5,117.4509,0,-0.05826231,0,1.512331,0,1.332067,0,348.8286,0,-0.1023191,7.604008,-27.06913,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.13202,2.0158,0x00000000,19.72921,98,0,0x00000000,0
217.084,1,-0.04652933,0.0150486,0.02418216,-0.02405421,-0.01922851,-0.002010584,-0.02736129,-0.01413143,-0.001957297,1.00243,0.09721299,0.06799596,0.3769492,-1947.095,-380.7018,0.002441406,1983.964,6246.37,4.001721,0,-0.3901215,0,55878785,37543022,197.4405,1740.49,1740.663,0.4658123,-31.38346,-8.926101,-0.0580775,32.62816,32.62821,-0.1019853,195.8769,-27.06998,13.86435,13.86874,0.2833444,-31.38346,-8.926101,-0.0580775,32.62816,32.62821,-0.3966416,-27.06998,348.8288,1.332206,1.511849,2.690151,1.694625,1.80017,6011980,337082,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8288,0,0.002441406,5,117.4616,0,-0.0580775,0,1.511849,0,1.332206,0,348.8288,0,-0.1019853,7.603359,-27.06998,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.11398,2.191,0x00000000,19.72921,98,0,0x00000000,0
217.095,1,-0.09996452,0.09596456,-0.008260483,-0.02228523,-0.01745272,0.0005288124,-0.02522844,-0.01280672,0.0005859733,0.9998145,0.09721299,0.06799596,0.3769492,-1947.409,-380.791,0.001861572,1984.289,6246.37,4.001721,0,-0.3901215,0,55878782,37543021,197.44,1740.596,1740.77,0.4678746,-31.38593,-8.927396,-0.05814232,32.63089,32.63094,-0.1020906,195.8779,-27.07099,13.86492,13.86931,0.2840244,-31.38593,-8.927396,-0.05814232,32.63089,32.63094,-0.3965195,-27.07099,348.8288,1.332138,1.511676,2.690315,1.694088,1.799485,6011980,337092,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8288,0,0.001861572,5,117.4714,0,-0.05814232,0,1.511676,0,1.332138,0,348.8288,0,-0.1020906,7.603481,-27.07099,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.11398,2.191,0x00000000,19.72921,98,0,0x00000000,0
217.104,1,0.02866693,0.0768736,-0.04986362,-0.02310357,-0.01911977,-5.787611E-05,-0.02636906,-0.01427559,-2.491474E-05,1.000474,0.09721299,0.06799596,0.3769492,-1947.722,-380.8803,0.001281738,1984.614,6246.37,4.001721,0,-0.3901215,0,55878780,37543019,197.4394,1740.702,1740.876,0.4699461,-31.3885,-8.928835,-0.05814717,32.63376,32.63381,-0.1020901,195.8791,-27.07264,13.86549,13.86988,0.2847035,-31.3885,-8.928835,-0.05814717,32.63376,32.63381,-0.3970409,-27.07264,348.8284,1.332915,1.511929,2.69048,1.694281,1.799676,6011980,337103,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8284,0,0.001281738,5,117.4817,0,-0.05814717,0,1.511929,0,1.332915,0,348.8284,0,-0.1020901,7.602961,-27.07264,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.11398,2.191,0x00000000,19.72921,98,0,0x00000000,0
217.114,1,0.05767452,0.0188586,-0.01245873,-0.02503659,-0.02098805,-0.001651585,-0.02866174,-0.01568619,-0.001621842,1.002155,0.09887967,0.05099596,0.3726159,-1948.036,-380.9697,0.0007019043,1984.939,6246.37,4.001721,0,-0.3901215,0,55878777,37543018,197.4388,1740.808,1740.983,0.472027,-31.3913,-8.930412,-0.05799529,32.63689,32.63694,-0.1018137,195.8804,-27.07406,13.86606,13.87045,0.2853819,-31.3913,-8.930412,-0.05799529,32.63689,32.63694,-0.3971852,-27.07406,348.8283,1.333102,1.51248,2.690644,1.694475,1.799866,6011980,337113,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8283,0,0.0007019043,5,117.493,0,-0.05799529,0,1.51248,0,1.333102,0,348.8283,0,-0.1018137,7.602816,-27.07406,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.11398,2.191,0x00000000,19.72921,98,0,0x00000000,0
217.124,1,-0.028585,-0.003278835,-0.05673355,-0.02448374,-0.02282064,-0.00238955,-0.02848904,-0.01755987,-0.002420545,1.002979,0.09887967,0.05099596,0.3726159,-1948.35,-381.059,0.0001220703,1985.264,6246.37,4.001721,0,-0.3901215,0,55878774,37543016,197.4382,1740.915,1741.089,0.4741172,-31.39409,-8.932174,-0.05776501,32.64005,32.64009,-0.1013996,195.882,-27.07624,13.86663,13.87103,0.2860594,-31.39409,-8.932174,-0.05776501,32.64005,32.64009,-0.3976518,-27.07624,348.8278,1.33308,1.512158,2.690809,1.694669,1.800056,6011980,337123,0x00000000,0,0,0,0,0,0,0,1000,0x00000000,0,0,348.8278,0,0.0001220703,5,117.5043,0,-0.05776501,0,1.512158,0,1.33308,0,348.8278,0,-0.1013996,7.602349,-27.07624,0,0,0,0x00000000,0x00000000,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,25.11398,2.191,0x00000000,19.72921,98,0,0x00000000,0
